Code,Name,Description
6a4,Ageing in suburbia,"The population of this subgroup has a higher proportion of people aged 65 and over than the parent group. A much higher proportion of households live in flats, and households are more likely to live in privately rented accommodation. Households are also more likely to live in overcrowded conditions."
6b,Semi-detached suburbia,"People in this group are slightly more likely to be divorced or separated than those in the supergroup. Households are more likely to live in semi-detached and terraced properties, with a higher proportion of households renting their accommodation."
6b1,Multi-ethnic suburbia,All the non-White ethnic groups are represented more highly in this subgroup in comparison with the parent group. There are also higher proportions of people born in the new EU countries and people whose main language is not English or Welsh. Households are more likely to live in semi-detached properties and to live in overcrowded conditions. A higher proportion of workers use public transport to commute to work.
6b2,White suburban communities,"Ethnic group representation, including persons with White ethnicity, is very similar to the parent group. The population of this subgroup has a lower proportion of people aged 65 and over than the parent group. Households are more likely to live in detached or terraced properties, and to live in privately rented accommodation."
6b3,Semi-detached ageing,"This subgroup has a higher proportion of people aged 65 to 89 than the parent group. All non- White ethnic groups have a lower representation in this subgroup when compared with the parent group. A higher proportion of households live in semi-detached properties, and own their own property."
6b4,Older workers and retirement,"There is a higher proportion of residents aged 65 to 89 within this subgroup than the parent group, and households are more likely to live in detached properties or flats. A higher proportion of households socially rent their accommodation, and a higher proportion are likely to live in overcrowded conditions."
7,Constrained city dwellers,"This supergroup has a lower proportion of people aged 5 to 14 and a higher level aged 65 and over than nationally. It is more densely populated than the UK average. People are more likely to be single or divorced. There is a lower representation of all the non-White ethnic groups and of people who were born in other EU countries. There is a lower proportion of households with no children. Households are more likely to live in flats and to live in social rented accommodation, and there is a higher prevalence of overcrowding. There is a higher proportion of people whose day-to- day activities are limited, and lower qualification levels than nationally. There is a higher level of unemployment in the supergroup. There are no particular industries in which workers are most likely to be employed, but some industries such as information and communication, and the education sector are underrepresented."
7a,Challenged diversity,"The population of this group have a higher level of people aged 0 to 14 in comparison with the supergroup. All non-White ethnic groups have a higher representation than nationally, especially people who have mixed ethnicity. A higher proportion of households live in terraced properties, and are more likely to live in private rented accommodation when compared with the supergroup. Car ownership is generally higher than the supergroup, and people are more likely to be employed in information and communication related industries."
7a1,Transitional Eastern European neighbourhoods,"All non-White ethnic groups have a lower representation in this subgroup when compared with the parent group. A higher proportion of people were born in the new EU countries and there is a higher proportion whose main language is not English or Welsh. Households are more likely to live in detached properties and a greater proportion live in privately rented accommodation when compared with the parent group. People are more likely to work in the agriculture and manufacturing related industries, and to use private transport to get to work."
7a2,Hampered aspiration,"The population of this subgroup has a lower representation of people of mixed ethnicity or of Black ethnicity when compared with the parent group. A higher proportion of households live in terraced houses and in privately rented accommodation when compared with the parent group. A higher proportion of people work in the information and communication, financial, and public administration related industries."
7a3,Multi-ethnic hardship,"The age make-up of this subgroup is higher in the 5 to 14 age group when compared with the parent group. Whilst there are higher proportions of people of mixed or Black ethnicity, all ethnic groups are well represented, though a lower proportion of people were born in other EU countries. Households were more likely to live in semi-detached properties and were more likely to live in socially rented accommodation. Workers were more likely to be employed in transport or storage industries."
7b,Constrained flat dwellers,"This group is characterised by people living in flats, with a higher proportion living in socially rented accommodation than for the supergroup. Ethnic groups generally have a similar representation as for the supergroup, persons of mixed ethnicity are underrepresented. There is a lower proportion of households with two or more cars."
7b1,Eastern European communities,"The population of this group has a higher proportion of people aged 0 to 14 than the parent group and a lower proportion aged 65 and over. A higher proportion of people were born in the new EU countries. There is also a higher proportion of people whose main language is not English or Welsh. Households are more likely to live in socially rented accommodation, with workers more likely to be employed in manufacturing industries."
7b2,Deprived neighbourhoods,"The age structure for this subgroup is very similar to the parent group, with a lower proportion of people born in the new EU countries, and whose main language is not English or Welsh. Households are less likely to own their property and more likely to socially rent. There is a higher proportion of unemployed people."
7b3,Endeavouring flat dwellers,"In this subgroup there is a lower proportion of people born in new EU countries. There is also a lower proportion of people whose main language is not English or Welsh. In comparison with the parent group households are more likely to have no children, and to own their accommodation, but they are also more likely to be living in privately rented accommodation. People are less likely to be unemployed and there is a higher proportion of people working in the information and communication, finance and public administration, and education related sectors."
7c,White communities,"The population of this group are more likely to be white when compared with the parent supergroup, with a lower representation of all other ethnic groups, and a lower proportion of people born in other EU countries. There is a higher proportion of households with non-dependent children, with households more likely to be living in semi-detached and terraced properties, and owning their own accommodation."
7c1,Challenged transitionaries,"Households in this subgroup are more likely to live in terraced properties than those in the parent group. There is a lower proportion social renting and a higher proportion renting privately compared with the parent group. People are less likely to be unemployed and are more likely to work in the information and communication, and financial related industries."
7c2,Constrained young families,The population of this subgroup shows a higher proportion of people aged 0 to 14 than the parent group and a lower proportion of families with no children. Households are more likely to live in terraced properties and to socially rent their accommodation. There is a higher proportion of people who are unemployed and those in employment are more likely to work in the accommodation or food service activities industries.
7c3,Outer city hardship,"The population of this subgroup has a higher proportion of people aged 65 and over when compared with the parent group. Households are more likely to live in detached and semi- detached properties, and private renting is slightly more prevalent than the parent group. There is a higher proportion of households with two or more cars and a lower proportion of people who use public transport to get to work."
7d,Ageing city dwellers,"The population of this group shows a higher proportion of people aged 65 and over when compared with the parent supergroup, and residents are more likely to live in communal establishments and less likely to be single. There is a higher proportion of households living in detached properties and flats. A lower proportion of people are unemployed."
7d1,Ageing communities and families,"The age profile of this subgroup shows a higher proportion of people aged 0 to 14 and a lower proportion aged 90 and over. People are less likely to live in communal establishments than the parent group. There is a higher proportion of households living in detached and semi-detached properties, and households owning their own property. Households are more likely to have two or more cars. There is a higher proportion of people working in the information and communication, and education related sectors."
7d2,Retired independent city dwellers,"When compared with the parent group there is a higher proportion of households living in flats, and in socially rented accommodation. There is a lower proportion of households with two or more cars, but higher unemployment amongst residents."
7d3,Retired communal city dwellers,"The population of this subgroup shows a lower proportion of people aged 0 to 14 than the parent group but a higher proportion aged 90 and over. A much higher proportion of people live in communal establishments. When compared with the parent group a higher proportion of households live in detached, semi-detached or terraced properties, privately rent their accommodation, and have two or more cars."
7d4,Retired city hardship,"The age profile of this subgroup shows a higher proportion of the population aged 65 and over, though residents are less likely to live in communal establishments or to be single. There is a lower proportion of households with no children and non-dependent children. Households are more likely to live in flats, and more likely to rent socially. People in this subgroup are less likely to have qualifications, and due to the age structure are less likely to work in any of the identified industry categories."
8,Hard-pressed living,"The population of this group is most likely to be found in urban surroundings, predominately in northern England and southern Wales. There is less non-White ethnic group representation than elsewhere in the UK, and a higher than average proportion of residents born in the UK and Ireland. Rates of divorce and separation are above the national average. Households are more likely to have non-dependent children and are more likely to live in semi-detached or terraced properties, and to socially rent. There is a smaller proportion of people with higher level qualifications, with rates of unemployment above the national average. Those in employment are more likely to be employed in the mining, manufacturing, energy, wholesale and retail, and transport related industries."
8a,Industrious communities,"Age structure and ethnic group representation broadly reflects the parent supergroup. There is a higher proportion of households living in detached and semi-detached properties, with slightly higher property ownership than for the supergroup. Industrious communities have a broadly similar demographic to the supergroup in terms of age group, occupation and population density, however slightly less overcrowding exists in this group. Ownership of two or more cars or vans is also marginally higher."
8a1,Industrious transitions,"The subgroup is broadly similar to the parent group in terms of age groups and ethnic diversity. Compared with the parent group, social renting is less common while a higher proportion of residents live in detached properties. This subgroup exhibits slightly higher proportions of residents in the information and communication, and financial related industries, together with slightly higher levels of educational qualifications."
8a2,Industrious hardship,"Age structure and ethnicity for this subgroup are consistent with the parent group. This subgroup has a higher proportion of residents who live in semi-detached properties, and social renting is more common, with marginally higher overcrowding. There is a smaller proportion of people in the information and communication, and financial related industries, and slightly higher levels of unemployment"
8b,Challenged terraced workers,A key difference with this group compared with the parent supergroup is the dominance of terraced housing over other types. Ownership of two or more cars and non-White ethnic group representation is also lower. The group has a similar age structure to the supergroup and similar employment characteristics.
8b1,Deprived blue-collar terraces,"Whilst for this subgroup, the age structure is broadly similar to the parent group, it is characterised by a higher degree of non-White ethnic group representation, and higher levels of households in private rented accommodation. There are also marginally higher levels of educational qualifications with employment in the information and communication, financial, and education sectors more prevalent than with the parent group."
8b2,Hard-pressed rented terraces,"For this subgroup, age structure and representation of ethnic groups are broadly similar to the parent group. There is a higher proportion of households living in semi-detached properties, and a noticeably higher proportion living in socially rented accommodation. There is also a slightly higher use of public transport for commuting to work."
8c,Hard-pressed ageing workers,"Residents who live in this group have a broadly similar age structure to the supergroup, though a smaller proportion of young people and higher proportion of older people. There is less non-While ethnic group representation than with the parent supergroup. Employment characteristics for this group closely reflect those for the supergroup."
8c1,Ageing industrious workers,"This subgroup is characterised by a slightly older age profile, and a higher proportion of mixed ethnicity of the residents compared with the parent group. Households are more likely to live in detached properties, and to live in privately rented accommodation. Residents have higher educational qualifications, whilst workers are more likely to be employed in the information and communication, and financial related industries."
8c2,Ageing rural industry workers,"The age structure is very similar to the parent group, though there is lower non-White ethnic group representation. Households are slightly more likely to live detached or terraced housing, and to be living in private rented accommodation when compared with the parent group. This subgroup contains considerably higher proportions of workers in agriculture, forestry and fishing occupations than the parent group, with a higher proportion of people walking and/or cycling to work."
8c3,Renting hard-pressed workers,"This subgroup has smaller proportions of older residents, and ethnic group representation is reasonably similar to the parent group. A higher proportion of households live in semi-detached properties and flats compared with the parent group, and households are more likely to live in socially rented accommodation. Household overcrowding and unemployment is marginally higher than the parent group. Workers are more likely to work in transport or storage industries, and to use public transport to travel to work."
8d,Migration and churn,"This group has a higher proportion of children aged 0 to 14 than the supergroup, with a higher representation of non-While ethnic groups. Households are more likely to live in terraced houses or flats, and to socially rent their property. Unemployment is noticeably higher than for the supergroup, and people are more likely to be employed in the tertiary industry (service) sector, and use public transport to get to work."
8d1,Young hard-pressed families,"The age structure for this subgroup largely reflects the parent group. There is a lower non-White ethnic group representation, particularly for people of mixed ethnicity. Households in socially rented accommodation are more prevalent than with the parent group, and unemployment is higher. Certain industries such as the information and communication related industries are underrepresented with this subgroup."
8d2,Hard-pressed ethnic mix,"This subgroup is generally characterised by higher levels of non-White ethnic group representation, particularly of persons of mixed and Black ethnicity, together with an older age structure than for the parent group. Households are more likely to live in flats, and more likely to own their own property. There are also a higher proportion of workers in the information and communication, and financial related industries, whilst unemployment is marginally lower than for the parent group."
8d3,Hard-pressed European settlers,"The key characteristic of this subgroup is the higher proportion of residents who were born in new EU countries compared with the parent group, and a younger age structure. Main language not English or Welsh is also more prevalent. Households in this subgroup are more likely to live in privately rented accommodation when compared with the parent group. Unemployment is marginally lower than for the parent group, with those in employment more likely to travel to work by walking or cycling, and employed in agriculture and manufacturing related industries."
